dedup_wf_001::680d4358139befdb9b30234bb1af992d,"View of the Puxi in the evening. Centre, Jiushi Building, background, Indigo Hotel."
doi_________::f4d1e2aa6f0add67a5eb8d501021c583,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::1e8bf1a805372fabd98e1b06fe25c124,"The large hadron electron collider (LHeC) is a proposed upgrade of the Large Hadron Collider (LHC) within the high luminosity LHC (HL-LHC) project, to provide electron-nucleon collisions and explore a new regime of energy and luminosity for deep inelastic scattering. The design of an interaction region for any collider is always a challenging task given that the beams are brought into crossing with the smallest beam sizes in a region where there are tight detector constraints. In this case integrating the LHeC into the existing HL-LHC lattice, to allow simultaneous proton-proton and electron-proton collisions, increases the difficulty of the task. A nominal design was presented in the the LHeC conceptual design report in 2012 featuring an optical configuration that focuses one of the proton beams of the LHC to ${\\ensuremath{\\beta}}^{*}=10\\text{ }\\text{ }\\mathrm{cm}$ in the LHeC interaction point to reach the desired luminosity of $L={10}^{33}\\text{ }\\text{ }{\\mathrm{cm}}^{\\ensuremath{-}2}\\text{ }{\\mathrm{s}}^{\\ensuremath{-}1}$. This value is achieved with the aid of a new inner triplet of quadrupoles at a distance ${L}^{*}=10\\text{ }\\text{ }\\mathrm{m}$ from the interaction point. However the chromatic beta beating was found intolerable regarding machine protection issues. An advanced chromatic correction scheme was required. This paper explores the feasibility of the extension of a novel optical technique called the achromatic telescopic squeezing scheme and the flexibility of the interaction region design, in order to find the optimal solution that would produce the highest luminosity while controlling the chromaticity, minimizing the synchrotron radiation power and maintaining the dynamic aperture required for stability."
doi_dedup___::4c43e4f63a359e436d32b7562c62f147,"Dust grains are an important component of the interstellar medium (ISM) of galaxies. We present the first direct measurement of the residence times of interstellar dust in the different ISM phases, and of the transition rates between these phases, in realistic hydrodynamical simulations of the multi-phase ISM. Our simulations include a time-dependent chemical network that follows the abundances of H^+, H, H_2, C^+ and CO and take into account self-shielding by gas and dust using a tree-based radiation transfer method. Supernova explosions are injected either at random locations, at density peaks, or as a mixture of the two. For each simulation, we investigate how matter circulates between the ISM phases and find more sizeable transitions than considered in simple mass exchange schemes in the literature. The derived residence times in the ISM phases are characterised by broad distributions, in particular for the molecular, warm and hot medium. The most realistic simulations with random and mixed driving have median residence times in the molecular, cold, warm and hot phase around 17, 7, 44 and 1 Myr, respectively. The transition rates measured in the random driving run are in good agreement with observations of Ti gas-phase depletion in the warm and cold phases in a simple depletion model, although the depletion in the molecular phase is under-predicted. ISM phase definitions based on chemical abundance rather than temperature cuts are physically more meaningful, but lead to significantly different transition rates and residence times because there is no direct correspondence between the two definitions."
doi_dedup___::52c0446080f78e2957227294056abbdb,"<jats:p> Interleukin-9 is a cytokine with multiple functions, including the ability to activate group 2 innate lymphoid cells, which has been postulated to be therapeutically active in mouse models of arthritis. Similarly, interleukin-9 has been suggested to play an important role in tumor immunity. Here, we describe the cloning, expression, and characterization of three fusion proteins based on murine interleukin-9 and the F8 antibody, specific to the alternatively spliced EDA domain of fibronectin. EDA is strongly expressed in cancer and in various arthritic conditions, while being undetectable in the majority of healthy organs. Interleukin-9-based fusion proteins with an irrelevant antibody specific to hen egg lysozyme served as negative control in our study. The fusion proteins were characterized by quantitative biodistribution analysis in tumor-bearing mice using radioiodinated protein preparations. The highest tumor uptake and best tumor:organ ratios were observed for a format, in which the interleukin-9 moiety was flanked by two units of the F8 antibody in single-chain Fv format. Biological activity of interleukin-9 was retained when the payload was fused to antibodies. However, the targeted delivery of interleukin-9 to the disease site resulted in a modest anti-tumor activity in three different murine models of cancer (K1735M2, CT26, and F9), while no therapeutic benefit was observed in a collagen induced model of arthritis. Collectively, these results confirm the possibility to deliver interleukin-9 to the site of disease but cast doubts about the alleged therapeutic activity of this cytokine in cancer and arthritis, which has been postulated in previous publications. </jats:p>"
doi_dedup___::7352a00c43e2dea682c090ee6d0581ca,"The paper deals with Newton maps of complex exponential functions and a surgery tool developed by P. Ha\\\""issinsky. The concept of \""Postcritically minimal\"" Newton maps of complex exponential functions are introduced, analogous to postcritically finite Newton maps of polynomials. The dynamics preserving mapping is constructed between the space of postcritically finite Newton maps of polynomials and the space of postcritically minimal Newton maps of complex exponential functions."
doi_dedup___::84d1d6f03334bd048ce59fd891ebd32b,"Background: In Morocco, there is little information on the circumstances surrounding maternal near misses. This study aimed to determine the incidence, characteristics, and determinants of maternal near misses in Morocco. Method:A prospective case-control study was conducted at 3 referral maternity hospitals in the Marrakech region of Morocco between February and July 2012. Near-miss cases included severe hemorrhage, hypertensive disorders, and prolonged obstructed labor. Three unmatched controls were selected for each near-miss case. Three categories of risk factors (sociodemographics, reproductive history, and delays), as well as perinatal outcomes, were assessed, and bivariate and multivariate analyses of the determinants were performed. A sample of 30 near misses and 30 non-near misses was interviewed. Results:The incidence of near misses was 12‰ of births. Hypertensive disorders during pregnancy (45%) and severe hemorrhage (39%) were the most frequent direct causes of near miss. The main risk factors were illiteracy [OR = 2.35; 95% CI: (1.07–5.15)], lack of antenatal care [OR = 3.97; 95% CI: (1.42–11.09)], complications during pregnancy [OR = 2.81; 95% CI:(1.26–6.29)], and having experienced a first phase delay [OR = 8.71; 95% CI: (3.97–19.12)] and a first phase of third delay [OR = 4.03; 95% CI: (1.75–9.25)]. The main reasons for the first delay were lack of a family authority figure who could make a decision, lack of sufficient financial resources, lack of a vehicle, and fear of health facilities. The majority of near misses demonstrated a third delay with many referrals. The women’s perceptions of the quality of their care highlighted the importance of information, good communication, and attitude. Conclusion:Women and newborns with serious obstetric complications have a greater chance of successful outcomes if they are immediately directed to a functioning referral hospital and if the providers are responsive."
doi_dedup___::8c83b4840fbdcaa39600866068d97b0f,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::c46317a8fee15d58fd6c55012df40e74,"Abstract   Learning to grasp an object is an important milestone in neurological development during infancy. Several studies report development of reaching in infants but less attention is devoted to reaching with successful grasping and to development of grip force. This study investigates, in the first weeks of life, the development of palmar grasp both for assessment of unimanual/bimanual grasping actions in centrally and laterally placed objects and for measurement of exerted power grip force. We longitudinally examined ten infants from 18 weeks to 41 weeks, at 2-weeks intervals, with a toy placed in three positions (body midline, ipsilateral and contralateral shoulder). Our main aim was to study this development through an ecological approach. This was possible thanks to the use of the “biomechatronic gym”, a new platform purposively developed for measuring reaching and grasping forces. These longitudinal trials showed a good level of acceptance and involvement by infants of the entire system. The results demonstrated a significant increase in unimanual power grip force between the 18th and 30th week followed by a flat period until the 41st week; we also ascertained an early tendency to play bimanually with centrally and laterally placed objects with a subsequent increase in all ages of unimanual successful power grasping both for central task and midline crossing. These developmental changes may be, in part, related to organism constraints such as maturation of the corticospinal tract."
doi_dedup___::ce3dda65d936d56f4d53e896f435e0ce,"Mammographic density (MD) phenotypes are strongly associated with breast cancer risk and highly heritable. In this GWAS meta-analysis of 24,192 women, we identify 31 MD loci at P < 5 × 10−8, tripling the number known to 46. Seventeen identified MD loci also are associated with breast cancer risk in an independent meta-analysis (P < 0.05). Mendelian randomization analyses show that genetic estimates of dense area (DA), nondense area (NDA), and percent density (PD) are all significantly associated with breast cancer risk (P < 0.05). Pathway analyses reveal distinct biological processes involving DA, NDA and PD loci. These findings provide additional insights into the genetic basis of MD phenotypes and their associations with breast cancer risk."
doi_dedup___::ebcbbcac26a1066b9ab7e4de43856802,"We present a detailed atomistic picture of the oxidation mechanism of Co nanoparticles and its impact on magnetism by experimentally following the evolution of the structure, chemical composition, and magnetism of individual, gas-phase grown Co nanoparticles during controlled oxidation. The early stage oxidation occurs in a twostep process characterized by (i) the initial formation of small CoO crystallites randomly distributed across the nanoparticle surface, until their coalescence leads to structural completion of the oxide shell and passivation of the metallic core; (ii) progressive conversion of the CoO shell to Co3O4, accompanied by void formation due to the nanoscale Kirkendall effect. The Co nanoparticles remain highly reactive toward oxygen during phase (i), demonstrating the absence of a pressure gap whereby a low reactivity at low pressures is postulated. Our results provide an important benchmark for an improved understanding of the magnetism of oxidized cobalt nanoparticles, with potential implications on their performance in catalytic reactions."
doi_dedup___::f732d26f5c333faf0076c3d9a564c4ae,"<jats:title>Abstract</jats:title>           <jats:sec>             <jats:title>Background</jats:title>             <jats:p>The last step in the maturation process of the large subunit of [NiFe]-hydrogenases is a proteolytic cleavage of the C-terminal by a hydrogenase specific protease. Contrary to other accessory proteins these hydrogenase proteases are believed to be specific whereby one type of hydrogenases specific protease only cleaves one type of hydrogenase. In cyanobacteria this is achieved by the gene product of either <jats:italic>hupW</jats:italic> or <jats:italic>hoxW</jats:italic>, specific for the uptake or the bidirectional hydrogenase respectively. The filamentous cyanobacteria <jats:italic>Nostoc punctiforme</jats:italic> ATCC 29133 and <jats:italic>Nostoc</jats:italic> sp strain PCC 7120 may contain a single uptake hydrogenase or both an uptake and a bidirectional hydrogenase respectively.</jats:p>           </jats:sec>           <jats:sec>             <jats:title>Results</jats:title>             <jats:p>In order to examine these proteases in cyanobacteria, transcriptional analyses were performed of <jats:italic>hupW</jats:italic> in <jats:italic>Nostoc punctiforme</jats:italic> ATCC 29133 and <jats:italic>hupW</jats:italic> and <jats:italic>hoxW</jats:italic> in <jats:italic>Nostoc</jats:italic> sp. strain PCC 7120. These studies revealed numerous transcriptional start points together with putative binding sites for NtcA (<jats:italic>hupW</jats:italic>) and LexA (<jats:italic>hoxW</jats:italic>). In order to investigate the diversity and specificity among hydrogeanse specific proteases we constructed a phylogenetic tree which revealed several subgroups that showed a striking resemblance to the subgroups previously described for [NiFe]-hydrogenases. Additionally the proteases specificity was also addressed by amino acid sequence analysis and protein-protein docking experiments with 3D-models derived from bioinformatic studies. These studies revealed a so called \""HOXBOX\""; an amino acid sequence specific for protease of Hox-type which might be involved in docking with the large subunit of the hydrogenase.</jats:p>           </jats:sec>           <jats:sec>             <jats:title>Conclusion</jats:title>             <jats:p>Our findings suggest that the hydrogenase specific proteases are under similar regulatory control as the hydrogenases they cleave. The result from the phylogenetic study also indicates that the hydrogenase and the protease have co-evolved since ancient time and suggests that at least one major horizontal gene transfer has occurred. This co-evolution could be the result of a close interaction between the protease and the large subunit of the [NiFe]-hydrogenases, a theory supported by protein-protein docking experiments performed with 3D-models. Finally we present data that may explain the specificity seen among hydrogenase specific proteases, the so called \""HOXBOX\""; an amino acid sequence specific for proteases of Hox-type. This opens the door for more detailed studies of the specificity found among hydrogenase specific proteases and the structural properties behind it.</jats:p>           </jats:sec>"
od______2659::469396989aa6a883c4312154c24f7add,"<p>Source code and data file for the article authored by Matteucci, Riggi and Zoccolan on a new automated method to infer the laminar position of recording sites of a silicon probe on the basis of stimulus-evoked LFP patterns.</p>"
od______3364::5206981d0d3310312b5c7366e2932154,
r3c4b2081b22::0617325eebd2c5f73e803dc6343445c1,Challenge brief and description of KPI and uncovered functionalities
r3c4b2081b22::caf6f6516d103cab9542e028e57101bf,"Summary report on workshop on EU, UN and OSCE capabilities in conflict prevention and peacebuilding"
dedup_wf_001::62bb9e5f4b061d42d18af4589ee60f52,
dedup_wf_001::78bbd7b97230303651cc873816bacf43,
doi_________::604d4a62e3138dac7515709d2a6db8d9,Belgium Herbarium image of Meise Botanic Garden.
doi_________::61fc6fd153fd90f84b9164e6e3acd6ac,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::6be0ccca0695983df9530f04c755d371,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::c0ea0c463297ee4a3d385b375d549b0a,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::f2a4bfcfbc2b14c20de72de28a15bd34,Belgium Herbarium image of Meise Botanic Garden.
doi_dedup___::1aab0aa235009543c2dd18dcb4d30b7e,"<p>Edible vegetable oils comprise integral components of humans&rsquo; daily diet during the<br> lifetime. Therefore, they constitute a central part of dietary-exposome, which among<br> other factors regulates human health. In particular, the regular consumption of olive<br> oil (OO) has been largely accepted as a healthy dietary pattern. Responsible for its<br> recognition as a superior edible oil is its exceptional aroma and flavor. Its unique<br> composition is characterized by high levels of monounsaturated fatty acids and the<br> presence ofminor constituents with important biological properties, such as the so-called<br> OO polyphenols. Being a high added value product, OO suffers from extensive fraud<br> and adulteration phenomena. However, its great chemical complexity, variability, and the<br> plethora of parameters affecting OO composition hamper significantly the selection of the<br> absolute criteria defining quality and authenticity, and a reliable and robust methodology<br> is still unavailable. In the current study, Flow Injection Analysis-Magnetic Resonance<br> Mass Spectrometry (FIA-MRMS) was investigated under a metabolic profiling concept<br> for the analysis of Greek Extra Virgin Olive Oils (EVOO). More than 200 monovarietal<br> (Koroneiki) EVOO samples were collected from the main Greek OO producing regions<br> and investigated. Both intact oil and the corresponding polyphenols were analyzed in fast<br> analysis time of 2 and 8min, respectively. In parallel, an LC-Orbitrap MS platform was<br> used to verify the efficiency of the method as well as a tool to increase the identification<br> confidence of the proposed markers. Based on the results, with FIA-MRMS, comparable<br> and improved projection and predictionmodels were generated in comparison to those of<br> the more established LC-MS methodology. With FIA-MRMS more statistically significant<br> compounds and chemical classes were identified as quality and authenticity markers,<br> associated with specific parameters, i.e. geographical region, cultivation practice, and<br> production procedure. Furthermore, it was possible to monitor both lipophilic and<br> hydrophilic compounds with a single analysis. To our knowledge, this approach is among<br> the few studies in which two FT-MS platforms combining LC and FIA methods were<br> integrated to provide solutions to quality control aspects of OO. Moreover, both lipophilic<br> and hydrophilic components are analyzed together, providing a holistic quality control<br> workflow for OO.</p>"
doi_dedup___::9364a5f656e810721694dde803ba5b09,12 p.-7 fig.-1 schem.-1 graph. abst.
doi_dedup___::b352ae5cb69fa079a6b3807408676d3f,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::fa0e5e587a0c72556987d0565f20f677,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
r3c4b2081b22::2e05fe70a258ec4556d14c5d78cfd9ff,Definition of the final experimental matrices for testing SEG and SEDMES processes. Matrices are based on the results from the process simulations of the complete FLEDGED system in WP4 and from the experimental tests obtained so far in WP2 and 3. Reference task: 3.1.
doi_________::06a9f3f6bd39e68742736f5e1b4065d7,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::72ec6a85e1d2e62a5cf658deb2e40c23,Belgium Herbarium image of Meise Botanic Garden.
doi_________::c490ae1df4eb459bc56e0b8e025c2135,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::04466f1e11964cc0202ca2331c366c47,"<p>The vast majority of lead halide perovskite (LHP) nanocrystals (NCs) are currently based on either a single halide composition (CsPbCl<sub>3</sub>, CsPbBr<sub>3</sub>, and CsPbI<sub>3</sub>) or an alloyed mixture of bromide with either Cl<sup>&ndash;</sup>&nbsp;or I<sup>&ndash;</sup>&nbsp;[i.e., CsPb(Br:Cl)<sub>3</sub>&nbsp;or CsPb(Br:I)<sub>3</sub>]. In this work, we present the synthesis as well as a detailed optical and structural study of two halide alloying cases that have not previously been reported for LHP NCs: Cs<sub>2</sub>PbI<sub>2</sub>Cl<sub>2</sub>&nbsp;NCs and triple halide CsPb(Cl:Br:I)<sub>3</sub>&nbsp;NCs. In the case of Cs<sub>2</sub>PbI<sub>2</sub>Cl<sub>2</sub>, we observe for the first time NCs with a fully inorganic Ruddlesden&ndash;Popper phase (RPP) crystal structure. Unlike the well-explored organic&ndash;inorganic RPP, here, the RPP formation is triggered by the size difference between the halide ions. These NCs exhibit a strong excitonic absorption, albeit with a weak photoluminescence quantum yield (PLQY). In the case of the triple halide CsPb(Cl:Br:I)<sub>3</sub>&nbsp;composition, the NCs comprise a CsPbBr<sub>2</sub>Cl perovskite crystal lattice with only a small amount of incorporated iodide, which segregates at RPP planes&rsquo; interfaces within the CsPb(Cl:Br:I)<sub>3</sub>&nbsp;NCs. Supported by density functional theory calculations and postsynthetic surface treatments to enhance the PLQY, we show that the combination of iodide segregation and defective RPP interfaces are most likely linked to the strong PL quenching observed in these nanostructures. In summary, this work demonstrates the limits of halide alloying in LHP NCs because a mixture that contains halide ions of very different sizes leads to the formation of defective RPP interfaces and a severe quenching of LHP NC&rsquo;s optical properties.</p>"
doi_dedup___::166ab1e672193eda745c9d7e26d26f97,"This paper outlines the participatory design processes adopted within the COSPATIAL project which is developing interactive, collaborative technologies for children and young people on the autism spectrum to support collaboration and social conversation skills. The project has involved a ‘core design team’ of teachers in a series of design workshops from the start. Groups of typically developing children and those on the autism spectrum have also been regularly involved in design and feedback activities to inform the development of our technology prototypes. Initial impressions from pilot testing suggest that children have enjoyed using the prototypes and teachers have found them useful; we suggest that our participatory design methods have strongly contributed to this positive response."
doi_dedup___::41e92ee4586b3bdcbae34c1e24d4e047,"Delineation of open reading frames (ORFs) causes persistent inconsistencies in prokaryote genome annotation. We demonstrate that by advanced (re)analysis of omics data, a higher proteome coverage and sensitive detection of unannotated ORFs can be achieved, which can be exploited for conditional bacterial genome (re)annotation, which is especially relevant in view of annotating the wealth of sequenced prokaryotic genomes obtained in recent years."
doi_dedup___::43c31b8be7bbb9db2394c8c98239f343,"Abstract   Effective support of inherent safety implementation in process design requires a quantitative metric for monitoring and communicating the expected safety performance of alternative design options. The Inherent Safety Key Performance Indicators (IS-KPIs) methodology was developed to provide both a flexible procedure for the identification of the hazards, and a sound consequence-based quantification of the safety performance. The integration of different hazard identification techniques yields the relevant accident scenarios for each unit in the plant. The calculation of credible damage distances by consolidate consequence simulation models provides a sound basis for the definition of the KPIs based on worst case effects. Specific indicators were devoted to hazards from external actions, as natural events and intentional malicious acts. The methodology was demonstrated by the comparison of alternative technological options for LNG regasification. The application evidenced the potential of the IS-KPI method in pinpointing the critical issues related to each alternative configuration."
doi_dedup___::6ad5cf5f0e5d3f67dad7ba96e9862571,"Dissertation, Universität Hamburg, 2019; Hamburg : Verlag Deutsches Elektronen-Synchrotron, DESY-THESIS 211 pp. (2019). = Dissertation, Universität Hamburg, 2019"
doi_dedup___::acafaae8a30112fec770f3a98f9f6582,"We examined the effect of temporal context on discrimination of intervals marked by auditory, visual and tactile stimuli. Subjects were asked to compare the duration of the interval immediately preceded by an irrelevant \""distractor\"" stimulus with an interval with no distractor. For short interval durations, the presence of the distractor affected greatly the apparent duration of the test stimulus: short distractors caused the test interval to appear shorter and vice versa. For very short reference durations (≤ 100 ms), the contextual effects were large, changing perceived duration by up to a factor of two. The effect of distractors reduced steadily for longer reference durations, to zero effect for durations greater than 500 ms. We found similar results for intervals defined by visual flashes, auditory tones and brief finger vibrations, all falling to zero effect at 500 ms. Under appropriate conditions, there were strong cross-modal interactions, particularly from audition to vision. We also measured the Weber fractions for duration discrimination and showed that under the conditions of this experiment, Weber fractions decreased steadily with duration, following a square-root law, similarly for all three modalities. The magnitude of the effect of the distractors on apparent duration correlated well with Weber fraction, showing that when duration discrimination was relatively more precise, the context dependency was less. The results were well fit by a simple Bayesian model combining noisy estimates of duration with the action of a resonance-like mechanism that tended to regularize the sound sequence intervals."
doi_dedup___::ba92f747ed1b6295a94725c79bd31815,"The ability to assemble weakly interacting subsystems is a prerequisite for implementing quantum information processing and generating controlled entanglement. In recent years, molecular nanomagnets have been proposed as suitable candidates for qubit encoding and manipulation. In particular, antiferromagnetic Cr7Ni rings behave as effective spin-1/2 systems at low temperature and show long decoherence times. Here, we show that these rings can be chemically linked to each other and that the coupling between their spins can be tuned by choosing the linker. We also present calculations that demonstrate how realistic microwave pulse sequences could be used to generate maximally entangled states in such molecules. The ability to assemble weakly-interacting subsystems is a prerequisite for implementing quantum-information processing. In recent years, molecular nanomagnets have been proposed as suitable candidates for qubit encoding and manipulation, with antiferromagnetic Cr7Ni rings of particular interest. It has now been shown that such rings can be chemically linked to each other and the coupling between their spins tuned through the choice of chemical linker."
doi_dedup___::e3f50c4c59b2aacce3d2420e325bff12,"We tested metrics from full-waveform (FW) LiDAR (light detection and ranging) as predictors for forest basal area (BA) and aboveground biomass (AGB), in a tropical moist forest. Three levels of metrics are tested: (i) peak-level, based on each return echo; (ii) pulse-level, based on the whole return signal from each emitted pulse; and  (iii) plot-level, simulating a large footprint LiDAR dataset. Several of the tested metrics have significant correlation, with two predictors, found by stepwise regression, in particular: median distribution of the height above ground (nZmedian) and fifth percentile of total pulse return intensity (i_tot5th). The former contained the most information and explained 58% and 62% of the variance in AGB and BA values; stepwise regression left us with two and four predictors, respectively, explaining 65% and 79% of the variance. For BA, the predictors were standard deviation, median and fifth percentile of total return pulse intensity (i_totstdDev, i_totmedian and i_tot5th) and nZmedian, whereas for AGB, only the last two were used. The plot-based metric showed that the median height of echo count (HOMTC) performs best, with very similar results as nZmedian, as expected. Cross-validation allowed the analysis of residuals and model robustness. We discuss our results considering our specific case scenario of a complex forest structure with a high degree of variability in terms of biomass."
od_______166::dd50c81490c38e56eb8b02b409c25e4d,The CDC25s phosphatases are key regulators of the physiological cell cycle progression. Their overexpression has been reported in a significant number of cancers and their inhibition appears to be an interesting strategy for treatments. We propose here a rapid screening test allowing the detection of reversible and irreversible CDC25 inhibitors. The test is based on the incubation of the candidate molecules with the human CDC25 proteins followed by an ultrafiltration step. The retentate is then directly analyzed by MALDI-TOFMS to detect reversible inhibitors or submitted to PMF analysis to reveal irreversible inhibitors. In parallel we applied this test to vegetable extracts in order to identify novel CDC25 inhibitors. The CDC25s inhibitory activity of these extracts is also evaluated in vitro thanks to biological tests. It results from this work that one molecule never known for its activity on the CDC25s shows a potential inhibitory effect and is cytotoxic on human cellular lineage
r3c4b2081b22::47b5da4426ca2738f7d30bff460436a1,Establishment of a supervisory Board for the network.
sygma_______::87f4743995e31ed781adee8167547548,"Millions of user accounts have been exposed by data breaches within the last years. The leaked credentials pose a huge threat to many because they can be used for credential stuffing and brute-force attacks across all online services. The best solution for this problem seems to be the use of 2nd-factor authentication, like hardware tokens or one-time passwords. While these are great solutions, they cause many problems for users because they are too expensive, difficult to manage, or just not user-friendly. In this paper, we will present the results of a study that shows that users need and want secure authentication, as long as it is quick, easy, and free of charge. Hence, we investigate how recent advancements in smartphone security and authentications standards can be used to build a mobile authenticator that is easy to use, free of charge, and as secure as a hardware token. Therefore we leverage the Trusted Execution Environment of the Android platform to implement a FIDO compliant authentication mechanism on the smartphone. Furthermore, we integrate this mobile authenticator into a password manager app, to reduce user interaction, simplify the setup and provide an encompassing solution for the user."
doi_________::baa3cc1b3ef45ddbd60a801f5e1ff41a,Wastewater samples information for the 8 European cities studied in 2015. The estimated population using the sewer network is showed in brackets (thousands of inhabitants within the catchment area). (DOCX 18 kb)
doi_________::f29dc35dd71ac93eed52084bc962b232,"<p><strong>Abstract&nbsp;</strong></p> <p>The preservation of scientific and cultural heritage is increasingly linked to the maintenance of long-term availability of digital information, for which no general strategy has been developed yet. In the cultural heritage domain, a digital representation may exist as a documentary representation of an existing analogue object &ndash; however, in some cases, it may also be the only remaining documentation of an analogue object which has been destroyed or lost.<br> In the documentation of architecture, a diversified mixture of analogue materials, like notes and sketches, as well as of &ldquo;born digitals&rdquo;, like CAD drawings and 3D-laserscans, is being generated. With the shift from analogue 2D plans to digital 3D representations in architecture, these materials create a growing data pool ideally documenting an object&rsquo;s life cycle. Such complex time studies can be irreplaceable cultural heritage objects, as they document architectural structures over changes due to remodeling, planned demolition or unplanned destruction.<br> In February 2013, the EU-funded project DURAARK &ndash; Durable Architectural Knowledge was launched under participation of the Leibniz University Hanover (L3S/TIB). The three-year project aims at the development of methods for the long-term preservation of architectural 3D data. From the ingest, storage and retrieval of 3D objects to measurements for the preservation of long-term availability DURAARK covers a wide range of processes and methods. The paper presents first findings of the project and covers identified requirements for the preservation of 3D data from the data storage, the file format choice as well as the semantic perspective.</p>"
doi_dedup___::26c58066c5924b8ae330b3fe979567da,"Applicable magnetic sensors based on nanogranular ferromagnetic materials were developed already more than 25 years ago. Since the then, nanotechnology has advanced significantly. New methods for manufacturing agglomerated core-shell structures have emerged. This opens up new possibilities of sensor fabrication and an opportunity for reassessment of the electric and magnetic properties of ideal granular structures. This work represents a comprehensive study of the intergranular resistivity, tunnel magnetoresistance and magnetic field sensibility of superparamagnetic and ferro(ferri)magnetic granular materials. Starting with the tunnel resistance of a granular metal network in which the grains are interconnected by insulating barriers, the tunnel magnetoresistance is calculated under consideration of the temperatures dependencies of magnetization, spin polarization and the magnetic flux dependencies of magnetization and tunnelling barrier height. Granular, superparamagnetic materials show a higher magnetic field sensitivity than ferromagnetic ones. They show a lower temperature coefficient of the tunnel magnetoresistance. Owing to their small magnetic response a higher temperature, superparamagnetic ferrimagnetic oxides are not suitable for application at room temperature. Ferromagnetic nanoparticles possess a high field sensitivity only in a small region of 0.1 to 0.5 T."
doi_dedup___::3d44f3195f88ad8b9550ad329a5ee65a,© The authors
doi_dedup___::514ddffead27411cd03119c548054654,"UID/AMB/04085/2019 UID/FIS/00068/2019 PTDC/FIS-NAN/0909/2014 SFRH/BD/114674/2016  CTQ2017-90659-REDT (MCIUN, Spain). FEDER Andalucia 2014–2020” – UMA18-FEDERJA-279. Degradation technologies applied to emerging organic contaminants from human activities are one of the major water challenges in the contamination legacy. Triclosan is an emerging contaminant, commonly used as antibacterial agent in personal care products. Triclosan is stable, lipophilic and it is proved to have ecotoxicology effects in organics. This induces great concern since its elimination in wastewater treatment plants is not efficient and its by-products (e.g. methyl-triclosan, 2,4-dichlorophenol or 2,4,6-trichlorophenol) are even more hazardous to several environmental compartments. This work provides understanding of two different electrochemical reactors for the degradation of triclosan and its derivative by-products in effluent. A batch reactor and a flow reactor (mimicking a secondary settling tank in a wastewater treatment plant) were tested with two different working anodes: Ti/MMO and Nb/BDD. The degradation efficiency and kinetics were evaluated to find the best combination of current density, electrodes and set-up design. For both reactors the best electrode combination was achieved with Ti/MMO as anode. The batch reactor at 7 mA/cm2 during 4 h attained degradation rates below the detection limit for triclosan and 2,4,6-trichlorophenol and, 94% and 43% for 2,4-dichlorophenol and methyl triclosan, respectively. The flow reactor obtained, in approximately 1 h, degradation efficiencies between 41% and 87% for the four contaminants. This study suggests an alternative technology for emerging organic contaminants degradation, since the combination of a low current density with the flow and matrix induced disturbance increases and speeds up the compounds’ elimination in a real environmental matrix. proof published"
doi_dedup___::51e411790e909b64a66f4fc1b01146b3,"This paper explores the combination of multiple concurrent modalities for conveying emotional information in HCI: temperature, vibration and abstract visual displays. Each modality has been studied individually, but can only convey a limited range of emotions within two-dimensional valence-arousal space. This paper is the first to systematically combine multiple modalities to expand the available affective range. Three studies were conducted: Study 1 measured the emotionality of vibrotactile feedback by itself; Study 2 measured the perceived emotional content of three bimodal combinations: vibrotactile + thermal, vibrotactile + visual and visual + thermal. Study 3 then combined all three modalities. Results show that combining modalities increases the available range of emotional states, particularly in the problematic top-right and bottom-left quadrants of the dimensional model. We also provide a novel lookup resource for designers to identify stimuli to convey a range of emotions."
doi_dedup___::6f2c4111dfd8873936459cd3d3e03e5a,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::78247873cbcfb0ce913d8a1fec916ee6,"In this note we analyse \\emph{quantitative} approximation properties of a certain class of \\emph{nonlocal} equations: Viewing the fractional heat equation as a model problem, which involves both \\emph{local} and \\emph{nonlocal} pseudodifferential operators, we study quantitative approximation properties of solutions to it. First, relying on Runge type arguments, we give an alternative proof of certain \\emph{qualitative} approximation results from \\cite{DSV16}. Using propagation of smallness arguments, we then provide bounds on the \\emph{cost} of approximate controllability and thus quantify the approximation properties of solutions to the fractional heat equation. Finally, we discuss generalizations of these results to a larger class of operators involving both local and nonlocal contributions."
